Código do Termo;Termo;Apresentação;Laboratório;Data de início de vigência;Data de fim de vigência;Data de fim de implantação;REGISTRO ANVISA
90051505;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML;ELI LILLY DO BRASIL LTDA;2012-10-10;;2014-08-31;1126000100027
90403525;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML;JANSSEN-CILAG FARMACÊUTICA LTDA;2019-03-01;;2019-05-31;1123634150015
90433149;VERZENIOS;50 MG COM REV CT BL AL AL X 30;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990018
90433157;VERZENIOS;50 MG COM REV CT BL AL AL X 60;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990026
90433165;VERZENIOS;100 MG COM REV CT BL AL AL X 30;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990034
90433173;VERZENIOS;100 MG COM REV CT BL AL AL X 60;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990042
90433181;VERZENIOS;150 MG COM REV CT BL AL AL X 30;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990050
90433190;VERZENIOS;150 MG COM REV CT BL AL AL X 60;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990069
90433203;VERZENIOS;200 MG COM REV CT BL AL AL X 30;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990077
90433211;VERZENIOS;200 MG COM REV CT BL AL AL X 60;ELI LILLY DO BRASIL LTDA;2019-08-01;;2019-10-31;1126001990085
90398645;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 30;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2019-03-01;;2019-05-31;1514300280014
90398653;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 60;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2019-03-01;;2019-05-31;1514300280022
90398661;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 120;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2019-03-01;;2019-05-31;1514300280030
90398696;BALEFIO;250 MG COM REV CT FR PLAS OPC X 120;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;2019-03-01;;2019-05-31;1514300340033
90228430;ZYTIGA;250 MG COM CT FR PLAS OPC X 120;JANSSEN-CILAG FARMACÊUTICA LTDA;2012-10-10;;2014-08-31;1123634010019
90120655;ACETATO DE CIPROTERONA;50 MG COM CT BL AL PLAS INC X 20;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;2012-10-10;;2014-08-31;1064601740019
90209559;PROSTMAN;50 MG COM CT BL AL PLAS INC X 20;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;2016-01-01;;2016-03-31;1049712010023
90246713;ANDROCUR;50 MG COM CT BL AL PLAS INC X 20;BAYER S.A.;2012-10-10;;2014-08-31;1705600660037
90246721;ANDROCUR;100 MG COM CT BL AL PLAS INC X 20;BAYER S.A.;2012-10-10;;2014-08-31;1705600660061
