Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
10101012;Consulta em consultório (no horário normal ou preestabelecido);2009-02-13;;2010-10-15
10101020;Consulta em domicílio;2009-02-13;;2010-10-15
10101039;Consulta em pronto socorro;2009-02-13;;2010-10-15
10102019;Visita hospitalar (paciente internado);2009-02-13;;2010-10-15
10103015;Atendimento ao recém-nascido em berçário;2009-02-13;;2010-10-15
10103023;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco);2009-02-13;;2010-10-15
10103031;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco);2009-02-13;;2010-10-15
10104011;Atendimento do intensivista diarista (por dia e por paciente);2009-02-13;;2010-10-15
10104020;Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente);2009-02-13;;2010-10-15
10105034;Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico;2009-02-13;;2010-10-15
10105042;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico;2009-02-13;;2010-10-15
10105050;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico;2009-02-13;;2010-10-15
10105069;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico;2009-02-13;;2010-10-15
10105077;Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco;2009-02-13;;2010-10-15
10106014;Aconselhamento genético;2009-02-13;;2010-10-15
10106030;Atendimento ao familiar do adolescente;2009-02-13;;2010-10-15
10106049;Atendimento pediátrico a gestantes (3º trimestre);2009-02-13;;2010-10-15
10106065;Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação da CNH (Carteira Nacional de Habilitação);2009-02-13;;2010-10-15
10106073;Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional;2009-02-13;;2010-10-15
10106090;Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8;2009-02-13;;2010-10-15
10106103;Perícia médica;2009-02-13;;2010-10-15
10106111;Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pelas Secretaria da Receita Federal e da Fazenda Estadual, a quem fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular;2010-09-09;;2010-10-15
10106120;Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor;2010-09-09;;2010-10-15
10106138;Prova de direção veicular em banca especial - Avaliação Clínica durante a prova de direção veicular procedida por dois médicos simultaneamente;2010-09-09;;2010-10-15
10106146;Atendimento ambulatorial em puericultura;2010-09-09;;2010-10-15
10106162;Atendimento para avaliação oftalmológica ao recém-nascido em berçário ou UTI;2021-08-01;;2021-10-31
20101015;Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação;2009-02-13;;2010-10-15
20101023;Análise da proporcionalidade cineantropométrica;2009-02-13;;2010-10-15
20101074;Avaliação nutrológica (inclui consulta);2009-02-13;;2010-10-15
20101082;Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta);2009-02-13;;2010-10-15
20101090;Avaliação da composição corporal por antropometria (inclui consulta);2009-02-13;;2010-10-15
20101104;Avaliação da composição corporal por bioimpedanciometria;2009-02-13;;2010-10-15
20101112;Avaliação da composição corporal por pesagem hidrostática;2009-02-13;;2010-10-15
20101120;Controle anti-doping (por período de 2 horas) - durante competições;2009-02-13;;2010-10-15
20101139;Controle anti-doping (por período de 2 horas) - fora de competições;2009-02-13;;2010-10-15
20101155;Prestação de serviços em delegações ou competições esportivas;2009-02-13;;2010-10-15
20101171;Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária;2009-02-13;;2010-10-15
