cd_procedimento,termo,categoria
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,Masculino
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,Feminino
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,N. I.
2,ANESTESIAS,Masculino
2,ANESTESIAS,Feminino
2,ANESTESIAS,N. I.
3,DIAGNÓSTICO POR IMAGEM - OUTROS,Masculino
3,DIAGNÓSTICO POR IMAGEM - OUTROS,Feminino
3,DIAGNÓSTICO POR IMAGEM - OUTROS,N. I.
4,DIAGNÓSTICO POR IMAGEM - RX,Masculino
4,DIAGNÓSTICO POR IMAGEM - RX,Feminino
4,DIAGNÓSTICO POR IMAGEM - RX,N. I.
5,ENDOSCOPIA DIAGNÓSTICA,Masculino
5,ENDOSCOPIA DIAGNÓSTICA,Feminino
5,ENDOSCOPIA DIAGNÓSTICA,N. I.
6,ENDOSCOPIA INTERVENCIONISTA,Masculino
6,ENDOSCOPIA INTERVENCIONISTA,Feminino
6,ENDOSCOPIA INTERVENCIONISTA,N. I.
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,Masculino
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,Feminino
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,N. I.
8,GENÉTICA,Masculino
8,GENÉTICA,Feminino
8,GENÉTICA,N. I.
9,MEDICINA LABORATORIAL,Masculino
9,MEDICINA LABORATORIAL,Feminino
9,MEDICINA LABORATORIAL,N. I.
10,MEDICINA NUCLEAR,Masculino
10,MEDICINA NUCLEAR,Feminino
10,MEDICINA NUCLEAR,N. I.
11,MEDICINA TRANSFUCIONAL,Masculino
11,MEDICINA TRANSFUCIONAL,Feminino
11,MEDICINA TRANSFUCIONAL,N. I.
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,Masculino
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,Feminino
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,N. I.
13,OUTROS EXAMES E PROCEDIMENTOS,Masculino
13,OUTROS EXAMES E PROCEDIMENTOS,Feminino
13,OUTROS EXAMES E PROCEDIMENTOS,N. I.
15,PROCEDIMENTOS DE ENFERMAGEM,Masculino
15,PROCEDIMENTOS DE ENFERMAGEM,Feminino
15,PROCEDIMENTOS DE ENFERMAGEM,N. I.
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,Masculino
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,Feminino
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,N. I.
17,PROCEDIMENTOS DE NUTRIÇÃO,Masculino
17,PROCEDIMENTOS DE NUTRIÇÃO,Feminino
17,PROCEDIMENTOS DE NUTRIÇÃO,N. I.
18,PROCEDIMENTOS EM FISIOTERAPIA,Masculino
18,PROCEDIMENTOS EM FISIOTERAPIA,Feminino
18,PROCEDIMENTOS EM FISIOTERAPIA,N. I.
19,PROCEDIMENTOS EM PSICOTERAPIA,Masculino
19,PROCEDIMENTOS EM PSICOTERAPIA,Feminino
19,PROCEDIMENTOS EM PSICOTERAPIA,N. I.
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,Masculino
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,Feminino
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,N. I.
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,Masculino
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,Feminino
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,N. I.
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,Masculino
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,Feminino
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,N. I.
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,Masculino
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,Feminino
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,N. I.
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,Masculino
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,Feminino
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,N. I.
29,MATERIAIS E OPME,Masculino
29,MATERIAIS E OPME,Feminino
29,MATERIAIS E OPME,N. I.
30,MEDICAMENTOS,Masculino
30,MEDICAMENTOS,Feminino
30,MEDICAMENTOS,N. I.
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",Masculino
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",Feminino
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",N. I.
10101012,Consulta em consultório (no horário normal ou preestabelecido),Masculino
10101012,Consulta em consultório (no horário normal ou preestabelecido),Feminino
10101012,Consulta em consultório (no horário normal ou preestabelecido),N. I.
10101020,Consulta em domicílio,Masculino
10101020,Consulta em domicílio,Feminino
10101020,Consulta em domicílio,N. I.
10101039,Consulta em pronto socorro,Masculino
10101039,Consulta em pronto socorro,Feminino
10101039,Consulta em pronto socorro,N. I.
10102019,Visita hospitalar (paciente internado),Masculino
10102019,Visita hospitalar (paciente internado),Feminino
10102019,Visita hospitalar (paciente internado),N. I.
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),Masculino
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),Feminino
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),N. I.
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),Masculino
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),Feminino
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),N. I.
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",Masculino
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",Feminino
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",N. I.
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",Masculino
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",Feminino
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico",N. I.
10106146,Atendimento ambulatorial em puericultura,Masculino
10106146,Atendimento ambulatorial em puericultura,Feminino
10106146,Atendimento ambulatorial em puericultura,N. I.
20101023,Análise da proporcionalidade cineantropométrica,Masculino
20101023,Análise da proporcionalidade cineantropométrica,Feminino
20101023,Análise da proporcionalidade cineantropométrica,N. I.
20101090,Avaliação da composição corporal por antropometria (inclui consulta),Masculino
20101090,Avaliação da composição corporal por antropometria (inclui consulta),Feminino
20101090,Avaliação da composição corporal por antropometria (inclui consulta),N. I.
20101104,Avaliação da composição corporal por bioimpedanciometria,Masculino
20101104,Avaliação da composição corporal por bioimpedanciometria,Feminino
20101104,Avaliação da composição corporal por bioimpedanciometria,N. I.
20101236,Avaliação geriátrica ampla - AGA,Masculino
20101236,Avaliação geriátrica ampla - AGA,Feminino
20101236,Avaliação geriátrica ampla - AGA,N. I.
20102011,Holter de 24 horas - 2 ou mais canais - analógico,Masculino
20102011,Holter de 24 horas - 2 ou mais canais - analógico,Feminino
20102011,Holter de 24 horas - 2 ou mais canais - analógico,N. I.
20102020,Holter de 24 horas - 3 canais - digital,Masculino
20102020,Holter de 24 horas - 3 canais - digital,Feminino
20102020,Holter de 24 horas - 3 canais - digital,N. I.
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),Masculino
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),Feminino
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),N. I.
20102100,Sistema Holter - 24 horas - 1 canal,Masculino
20102100,Sistema Holter - 24 horas - 1 canal,Feminino
20102100,Sistema Holter - 24 horas - 1 canal,N. I.
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",Masculino
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",Feminino
20103140,"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",N. I.
20103182,Desvios posturais da coluna vertebral,Masculino
20103182,Desvios posturais da coluna vertebral,Feminino
20103182,Desvios posturais da coluna vertebral,N. I.
20103220,Doenças pulmonares atendidas em ambulatório,Masculino
20103220,Doenças pulmonares atendidas em ambulatório,Feminino
20103220,Doenças pulmonares atendidas em ambulatório,N. I.
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),Masculino
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),Feminino
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),N. I.
20103344,Miopatias,Masculino
20103344,Miopatias,Feminino
20103344,Miopatias,N. I.
20103360,Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória,Masculino
20103360,Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória,Feminino
20103360,Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória,N. I.
20103450,Paraplegia e tetraplegia,Masculino
20103450,Paraplegia e tetraplegia,Feminino
20103450,Paraplegia e tetraplegia,N. I.
20103476,Patologia neurológica com dependência de atividades da vida diária,Masculino
20103476,Patologia neurológica com dependência de atividades da vida diária,Feminino
20103476,Patologia neurológica com dependência de atividades da vida diária,N. I.
20103484,Patologia osteomioarticular em um membro,Masculino
20103484,Patologia osteomioarticular em um membro,Feminino
20103484,Patologia osteomioarticular em um membro,N. I.
20103492,Patologia osteomioarticular em dois ou mais membros,Masculino
20103492,Patologia osteomioarticular em dois ou mais membros,Feminino
20103492,Patologia osteomioarticular em dois ou mais membros,N. I.
20103506,Patologia osteomioarticular em um segmento da coluna,Masculino
20103506,Patologia osteomioarticular em um segmento da coluna,Feminino
20103506,Patologia osteomioarticular em um segmento da coluna,N. I.
20103514,Patologia osteomioarticular em diferentes segmentos da coluna,Masculino
20103514,Patologia osteomioarticular em diferentes segmentos da coluna,Feminino
20103514,Patologia osteomioarticular em diferentes segmentos da coluna,N. I.
20103638,Reabilitação labiríntica (por sessão),Masculino
20103638,Reabilitação labiríntica (por sessão),Feminino
20103638,Reabilitação labiríntica (por sessão),N. I.
20103646,Reabilitação perineal com biofeedback,Masculino
20103646,Reabilitação perineal com biofeedback,Feminino
20103646,Reabilitação perineal com biofeedback,N. I.
20103662,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro,Masculino
20103662,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro,Feminino
20103662,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro,N. I.
20103670,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro,Masculino
20103670,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro,Feminino
20103670,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro,N. I.
20103689,Retardo do desenvolvimento psicomotor,Masculino
20103689,Retardo do desenvolvimento psicomotor,Feminino
20103689,Retardo do desenvolvimento psicomotor,N. I.
20104022,Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para,Masculino
20104022,Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para,Feminino
20104022,Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para,N. I.
20104065,Cerumen - remoção (bilateral),Masculino
20104065,Cerumen - remoção (bilateral),Feminino
20104065,Cerumen - remoção (bilateral),N. I.
20104073,Crioterapia (grupo de até 5 lesões),Masculino
20104073,Crioterapia (grupo de até 5 lesões),Feminino
20104073,Crioterapia (grupo de até 5 lesões),N. I.
20104103,"Curativos em geral sem anestesia, exceto queimados",Masculino
20104103,"Curativos em geral sem anestesia, exceto queimados",Feminino
20104103,"Curativos em geral sem anestesia, exceto queimados",N. I.
20104138,Imunoterapia específica - 30 dias - planejamento técnico,Masculino
20104138,Imunoterapia específica - 30 dias - planejamento técnico,Feminino
20104138,Imunoterapia específica - 30 dias - planejamento técnico,N. I.
20104146,Imunoterapia inespecífica - 30 dias - planejamento técnico,Masculino
20104146,Imunoterapia inespecífica - 30 dias - planejamento técnico,Feminino
20104146,Imunoterapia inespecífica - 30 dias - planejamento técnico,N. I.
20104219,Sessão de psicoterapia individual,Masculino
20104219,Sessão de psicoterapia individual,Feminino
20104219,Sessão de psicoterapia individual,N. I.
20104227,Sessão de psicoterapia infantil,Masculino
20104227,Sessão de psicoterapia infantil,Feminino
20104227,Sessão de psicoterapia infantil,N. I.
20104278,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento,Masculino
20104278,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento,Feminino
20104278,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento,N. I.
20104294,Terapia oncológica - planejamento e 1º dia de tratamento,Masculino
20104294,Terapia oncológica - planejamento e 1º dia de tratamento,Feminino
20104294,Terapia oncológica - planejamento e 1º dia de tratamento,N. I.
20104308,Terapia oncológica - por dia subsequente de tratamento,Masculino
20104308,Terapia oncológica - por dia subsequente de tratamento,Feminino
20104308,Terapia oncológica - por dia subsequente de tratamento,N. I.
20104383,Pulsoterapia intravenosa (por sessão) - ambulatorial,Masculino
20104383,Pulsoterapia intravenosa (por sessão) - ambulatorial,Feminino
20104383,Pulsoterapia intravenosa (por sessão) - ambulatorial,N. I.
20104391,Terapia imunobiológica intravenosa (por sessão) - ambulatorial,Masculino
20104391,Terapia imunobiológica intravenosa (por sessão) - ambulatorial,Feminino
20104391,Terapia imunobiológica intravenosa (por sessão) - ambulatorial,N. I.
20104421,Terapia imunobiológica subcutânea (por sessão) ambulatorial,Masculino
20104421,Terapia imunobiológica subcutânea (por sessão) ambulatorial,Feminino
20104421,Terapia imunobiológica subcutânea (por sessão) ambulatorial,N. I.
20201117,Avaliação clínica diária parenteral,Masculino
20201117,Avaliação clínica diária parenteral,Feminino
20201117,Avaliação clínica diária parenteral,N. I.
20202016,Cardiotocografia anteparto,Masculino
20202016,Cardiotocografia anteparto,Feminino
20202016,Cardiotocografia anteparto,N. I.
20203012,Assistência fisiátrica respiratória em paciente internado com ventilação mecânica,Masculino
20203012,Assistência fisiátrica respiratória em paciente internado com ventilação mecânica,Feminino
20203012,Assistência fisiátrica respiratória em paciente internado com ventilação mecânica,N. I.
20203047,Assistência fisiátrica respiratória em doente clínico internado,Masculino
20203047,Assistência fisiátrica respiratória em doente clínico internado,Feminino
20203047,Assistência fisiátrica respiratória em doente clínico internado,N. I.
20204175,Terapia imunobiológica subcutânea (por sessão) - hospitalar,Masculino
20204175,Terapia imunobiológica subcutânea (por sessão) - hospitalar,Feminino
20204175,Terapia imunobiológica subcutânea (por sessão) - hospitalar,N. I.
30101077,"Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc",Masculino
30101077,"Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc",Feminino
30101077,"Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc",N. I.
30101085,Biópsia de unha,Masculino
30101085,Biópsia de unha,Feminino
30101085,Biópsia de unha,N. I.
30101204,Criocirurgia (nitrogênio líquido) de neoplasias cutâneas,Masculino
30101204,Criocirurgia (nitrogênio líquido) de neoplasias cutâneas,Feminino
30101204,Criocirurgia (nitrogênio líquido) de neoplasias cutâneas,N. I.
30101247,Curetagem e eletrocoagulação de CA de pele (por lesão),Masculino
30101247,Curetagem e eletrocoagulação de CA de pele (por lesão),Feminino
30101247,Curetagem e eletrocoagulação de CA de pele (por lesão),N. I.
30101255,Curetagem simples de lesões de pele (por grupo de até 5 lesões),Masculino
30101255,Curetagem simples de lesões de pele (por grupo de até 5 lesões),Feminino
30101255,Curetagem simples de lesões de pele (por grupo de até 5 lesões),N. I.
30101280,Desbridamento cirúrgico - por unidade topográfica (UT),Masculino
30101280,Desbridamento cirúrgico - por unidade topográfica (UT),Feminino
30101280,Desbridamento cirúrgico - por unidade topográfica (UT),N. I.
30101298,Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões),Masculino
30101298,Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões),Feminino
30101298,Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões),N. I.
30101450,Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos,Masculino
30101450,Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos,Feminino
30101450,Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos,N. I.
30101468,Exérese de lesão / tumor de pele e mucosas,Masculino
30101468,Exérese de lesão / tumor de pele e mucosas,Feminino
30101468,Exérese de lesão / tumor de pele e mucosas,N. I.
30101484,Exérese de unha,Masculino
30101484,Exérese de unha,Feminino
30101484,Exérese de unha,N. I.
30101492,Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões),Masculino
30101492,Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões),Feminino
30101492,Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões),N. I.
30101522,"Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região",Masculino
30101522,"Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região",Feminino
30101522,"Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região",N. I.
30101590,Face - biópsia,Masculino
30101590,Face - biópsia,Feminino
30101590,Face - biópsia,N. I.
30101620,"Incisão e drenagem de abscesso, hematoma ou panarício",Masculino
30101620,"Incisão e drenagem de abscesso, hematoma ou panarício",Feminino
30101620,"Incisão e drenagem de abscesso, hematoma ou panarício",N. I.
30101646,"Infiltração  intralesional, cicatricial / hemangiomas - por sessão",Masculino
30101646,"Infiltração  intralesional, cicatricial / hemangiomas - por sessão",Feminino
30101646,"Infiltração  intralesional, cicatricial / hemangiomas - por sessão",N. I.
30101735,Retirada de corpo estranho subcutâneo,Masculino
30101735,Retirada de corpo estranho subcutâneo,Feminino
30101735,Retirada de corpo estranho subcutâneo,N. I.
30101794,Sutura de pequenos ferimentos com ou sem desbridamento,Masculino
30101794,Sutura de pequenos ferimentos com ou sem desbridamento,Feminino
30101794,Sutura de pequenos ferimentos com ou sem desbridamento,N. I.
30101913,TU partes moles - exérese,Masculino
30101913,TU partes moles - exérese,Feminino
30101913,TU partes moles - exérese,N. I.
30101921,"Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)",Masculino
30101921,"Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)",Feminino
30101921,"Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)",N. I.
30101948,Cantoplastia ungueal,Masculino
30101948,Cantoplastia ungueal,Feminino
30101948,Cantoplastia ungueal,N. I.
30201063,Frenotomia labial,Masculino
30201063,Frenotomia labial,Feminino
30201063,Frenotomia labial,N. I.
30203015,Frenotomia lingual,Masculino
30203015,Frenotomia lingual,Feminino
30203015,Frenotomia lingual,N. I.
30205034,Adeno-amigdalectomia,Masculino
30205034,Adeno-amigdalectomia,Feminino
30205034,Adeno-amigdalectomia,N. I.
30205042,Adenoidectomia,Masculino
30205042,Adenoidectomia,Feminino
30205042,Adenoidectomia,N. I.
30205085,Cauterização (qualquer técnica) por sessão,Masculino
30205085,Cauterização (qualquer técnica) por sessão,Feminino
30205085,Cauterização (qualquer técnica) por sessão,N. I.
30205271,Adenoidectomia por videoendoscopia,Masculino
30205271,Adenoidectomia por videoendoscopia,Feminino
30205271,Adenoidectomia por videoendoscopia,N. I.
30207223,Tratamento conservador de fratura de ossos,Masculino
30207223,Tratamento conservador de fratura de ossos,Feminino
30207223,Tratamento conservador de fratura de ossos,N. I.
30301190,Ressecção de tumores palpebrais,Masculino
30301190,Ressecção de tumores palpebrais,Feminino
30301190,Ressecção de tumores palpebrais,N. I.
30303010,Autotransplante conjuntival,Masculino
30303010,Autotransplante conjuntival,Feminino
30303010,Autotransplante conjuntival,N. I.
30303060,Pterígio - exérese,Masculino
30303060,Pterígio - exérese,Feminino
30303060,Pterígio - exérese,N. I.
30304105,Delaminação corneana com fotoablação estromal - LASIK,Masculino
30304105,Delaminação corneana com fotoablação estromal - LASIK,Feminino
30304105,Delaminação corneana com fotoablação estromal - LASIK,N. I.
30304156,Cross-linking (CXL) de colágeno corneano,Masculino
30304156,Cross-linking (CXL) de colágeno corneano,Feminino
30304156,Cross-linking (CXL) de colágeno corneano,N. I.
30304156,Cross-linking (CXL) de colágeno corneano (nomenclatura proposta pelo CBO seguindo descrição/sigla internacional),Masculino
30304156,Cross-linking (CXL) de colágeno corneano (nomenclatura proposta pelo CBO seguindo descrição/sigla internacional),Feminino
30304156,Cross-linking (CXL) de colágeno corneano (nomenclatura proposta pelo CBO seguindo descrição/sigla internacional),N. I.
30306019,Capsulotomia YAG ou cirúrgica,Masculino
30306019,Capsulotomia YAG ou cirúrgica,Feminino
30306019,Capsulotomia YAG ou cirúrgica,N. I.
30306027,Facectomia com lente intra-ocular com facoemulsificação,Masculino
30306027,Facectomia com lente intra-ocular com facoemulsificação,Feminino
30306027,Facectomia com lente intra-ocular com facoemulsificação,N. I.
30307147,Tratamento ocular quimioterápico com anti-angiogênico (por sessão),Masculino
30307147,Tratamento ocular quimioterápico com anti-angiogênico (por sessão),Feminino
30307147,Tratamento ocular quimioterápico com anti-angiogênico (por sessão),N. I.
30307147,Tratamento ocular quimioterápico com anti-angiogênico. Programa de 24 meses. Uma sessão por mês (por sessão),Masculino
30307147,Tratamento ocular quimioterápico com anti-angiogênico. Programa de 24 meses. Uma sessão por mês (por sessão),Feminino
30307147,Tratamento ocular quimioterápico com anti-angiogênico. Programa de 24 meses. Uma sessão por mês (por sessão),N. I.
30312043,Fotocoagulação (laser) - por sessão  - monocular,Masculino
30312043,Fotocoagulação (laser) - por sessão  - monocular,Feminino
30312043,Fotocoagulação (laser) - por sessão  - monocular,N. I.
30402018,Aspiração auricular,Masculino
30402018,Aspiração auricular,Feminino
30402018,Aspiração auricular,N. I.
30402042,"Corpos estranhos, pólipos ou biópsia - em consultório",Masculino
30402042,"Corpos estranhos, pólipos ou biópsia - em consultório",Feminino
30402042,"Corpos estranhos, pólipos ou biópsia - em consultório",N. I.
30402050,"Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral",Masculino
30402050,"Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral",Feminino
30402050,"Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral",N. I.
30501083,Corpos estranhos - retirada em consultório (nariz),Masculino
30501083,Corpos estranhos - retirada em consultório (nariz),Feminino
30501083,Corpos estranhos - retirada em consultório (nariz),N. I.
30501113,Epistaxe - cauterização (qualquer técnica),Masculino
30501113,Epistaxe - cauterização (qualquer técnica),Feminino
30501113,Epistaxe - cauterização (qualquer técnica),N. I.
30501350,Rinosseptoplastia funcional,Masculino
30501350,Rinosseptoplastia funcional,Feminino
30501350,Rinosseptoplastia funcional,N. I.
30502187,Ressecção de tumor benigno,Masculino
30502187,Ressecção de tumor benigno,Feminino
30502187,Ressecção de tumor benigno,N. I.
30502209,Sinusectomia maxilar - via endonasal,Masculino
30502209,Sinusectomia maxilar - via endonasal,Feminino
30502209,Sinusectomia maxilar - via endonasal,N. I.
30602076,Exérese de lesão da mama por marcação estereotáxica ou roll,Masculino
30602076,Exérese de lesão da mama por marcação estereotáxica ou roll,Feminino
30602076,Exérese de lesão da mama por marcação estereotáxica ou roll,N. I.
30602092,Exérese de nódulo,Masculino
30602092,Exérese de nódulo,Feminino
30602092,Exérese de nódulo,N. I.
30602181,Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama),Masculino
30602181,Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama),Feminino
30602181,Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama),N. I.
