cd_procedimento,termo,categoria,tot_qt,tot_vl,mean_vl
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,1 a 4,7196,723524.119999998,100.55
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,10 a 14,8129,1021699.02999999,125.69
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,15 a 19,12731,1320586.89,103.73
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,20 a 29,59515,5390425.82000006,90.57
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,30 a 39,136956.04,14361136.0999998,104.86
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,40 a 49,131660,15542907.9399999,118.05
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,5 a 9,8746,2397468,274.12
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,50 a 59,101873,20123381.2499999,197.53
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,60 a 69,98279,11553819.2400001,117.56
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,70 a 79,79052,17016880.69,215.26
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,80 ou mais,49598,5892808.81999998,118.81
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,<1,1727,180943.94,104.77
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,Não identificado,11018,843161.640000002,76.53
2,ANESTESIAS,1 a 4,3910.8,981173.790000001,250.89
2,ANESTESIAS,10 a 14,1800,450031.34,250.02
2,ANESTESIAS,15 a 19,2129.5,671481.56,315.32
2,ANESTESIAS,20 a 29,10744.5,3028119.25999998,281.83
2,ANESTESIAS,30 a 39,16531.5,6491080.85000002,392.65
2,ANESTESIAS,40 a 49,16082.5,5794533.44000002,360.3
2,ANESTESIAS,5 a 9,3049.5,610179.77,200.09
2,ANESTESIAS,50 a 59,16879.5,6234136.20000001,369.33
2,ANESTESIAS,60 a 69,19352,6027904.26000002,311.49
2,ANESTESIAS,70 a 79,18326,6647945.51,362.76
2,ANESTESIAS,80 ou mais,15411.8,4634926.59999998,300.74
2,ANESTESIAS,<1,1220.5,368683.94,302.08
2,ANESTESIAS,Não identificado,1346,352033.95,261.54
3,DIAGNÓSTICO POR IMAGEM - OUTROS,1 a 4,21,1704.49,81.17
3,DIAGNÓSTICO POR IMAGEM - OUTROS,10 a 14,13,2919.3,224.56
3,DIAGNÓSTICO POR IMAGEM - OUTROS,15 a 19,21,6460.03,307.62
3,DIAGNÓSTICO POR IMAGEM - OUTROS,20 a 29,49,6007.34,122.6
3,DIAGNÓSTICO POR IMAGEM - OUTROS,30 a 39,103,17513.45,170.03
3,DIAGNÓSTICO POR IMAGEM - OUTROS,40 a 49,95,21531.1,226.64
3,DIAGNÓSTICO POR IMAGEM - OUTROS,5 a 9,16,2466.38,154.15
3,DIAGNÓSTICO POR IMAGEM - OUTROS,50 a 59,62,13982.28,225.52
3,DIAGNÓSTICO POR IMAGEM - OUTROS,60 a 69,139,43835.12,315.36
3,DIAGNÓSTICO POR IMAGEM - OUTROS,70 a 79,101,65139.21,644.94
3,DIAGNÓSTICO POR IMAGEM - OUTROS,80 ou mais,102,35470.94,347.75
3,DIAGNÓSTICO POR IMAGEM - OUTROS,<1,25,3583.71,143.35
3,DIAGNÓSTICO POR IMAGEM - OUTROS,Não identificado,26,6120.17,235.39
4,DIAGNÓSTICO POR IMAGEM - RX,1 a 4,16529,984570.069999993,59.57
4,DIAGNÓSTICO POR IMAGEM - RX,10 a 14,10822,614513.98,56.78
4,DIAGNÓSTICO POR IMAGEM - RX,15 a 19,13595.89,876174.39,64.44
4,DIAGNÓSTICO POR IMAGEM - RX,20 a 29,60334.85,4031256.15999998,66.81
4,DIAGNÓSTICO POR IMAGEM - RX,30 a 39,112565,9237708.73999977,82.07
4,DIAGNÓSTICO POR IMAGEM - RX,40 a 49,107230.3,11300472.7499999,105.39
4,DIAGNÓSTICO POR IMAGEM - RX,5 a 9,12581,714103.69,56.76
4,DIAGNÓSTICO POR IMAGEM - RX,50 a 59,119748,11321685.28,94.55
4,DIAGNÓSTICO POR IMAGEM - RX,60 a 69,148682.8,15188962.5999999,102.16
4,DIAGNÓSTICO POR IMAGEM - RX,70 a 79,159521.88,16014137.6300002,100.39
4,DIAGNÓSTICO POR IMAGEM - RX,80 ou mais,177132.6,11934395.1499999,67.38
4,DIAGNÓSTICO POR IMAGEM - RX,<1,18871.6,1029651.93,54.56
4,DIAGNÓSTICO POR IMAGEM - RX,Não identificado,13991,849673.72,60.73
5,ENDOSCOPIA DIAGNÓSTICA,1 a 4,688,149351.44,217.08
5,ENDOSCOPIA DIAGNÓSTICA,10 a 14,177,31025.5,175.29
5,ENDOSCOPIA DIAGNÓSTICA,15 a 19,378,93100.8400000001,246.3
5,ENDOSCOPIA DIAGNÓSTICA,20 a 29,2338.5,661459.380000001,282.86
5,ENDOSCOPIA DIAGNÓSTICA,30 a 39,4530.3,2078163.4,458.73
5,ENDOSCOPIA DIAGNÓSTICA,40 a 49,4228.86,1566969.76000001,370.54
5,ENDOSCOPIA DIAGNÓSTICA,5 a 9,293,59917.72,204.5
5,ENDOSCOPIA DIAGNÓSTICA,50 a 59,3798.8,1389618.20000001,365.8
5,ENDOSCOPIA DIAGNÓSTICA,60 a 69,4317.75,1977579.38000001,458.01
5,ENDOSCOPIA DIAGNÓSTICA,70 a 79,3901.3,2171212.49,556.54
5,ENDOSCOPIA DIAGNÓSTICA,80 ou mais,3398,1963482.04,577.83
5,ENDOSCOPIA DIAGNÓSTICA,<1,207,42633.95,205.96
5,ENDOSCOPIA DIAGNÓSTICA,Não identificado,340,126221.31,371.24
6,ENDOSCOPIA INTERVENCIONISTA,1 a 4,755,389944.45,516.48
6,ENDOSCOPIA INTERVENCIONISTA,10 a 14,343,237286.02,691.8
6,ENDOSCOPIA INTERVENCIONISTA,15 a 19,392,173604.11,442.87
6,ENDOSCOPIA INTERVENCIONISTA,20 a 29,1040,361192.48,347.3
6,ENDOSCOPIA INTERVENCIONISTA,30 a 39,1869,765860.459999999,409.77
6,ENDOSCOPIA INTERVENCIONISTA,40 a 49,2148,820169.750000001,381.83
6,ENDOSCOPIA INTERVENCIONISTA,5 a 9,475,257421.44,541.94
6,ENDOSCOPIA INTERVENCIONISTA,50 a 59,3007,1222405.8,406.52
6,ENDOSCOPIA INTERVENCIONISTA,60 a 69,3817,1616902.56,423.61
6,ENDOSCOPIA INTERVENCIONISTA,70 a 79,4083.5,1990280.17,487.4
6,ENDOSCOPIA INTERVENCIONISTA,80 ou mais,3762,1530145.41,406.74
6,ENDOSCOPIA INTERVENCIONISTA,<1,289,75705.66,261.96
6,ENDOSCOPIA INTERVENCIONISTA,Não identificado,267,106689.56,399.59
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,1 a 4,10,969.18,96.92
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,10 a 14,2,12.5,6.25
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,15 a 19,1,6.25,6.25
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,20 a 29,9,82.07,9.12
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,30 a 39,36,471.39,13.09
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,40 a 49,23,185.82,8.08
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,5 a 9,3,18.75,6.25
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,50 a 59,13,203.19,15.63
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,60 a 69,24,124.52,5.19
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,70 a 79,5,30.91,6.18
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,80 ou mais,5,75.67,15.13
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,<1,1,6.25,6.25
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,Não identificado,4,15.5,3.88
8,GENÉTICA,1 a 4,229,82603.13,360.71
8,GENÉTICA,10 a 14,84,32113.64,382.31
8,GENÉTICA,15 a 19,119,38547.64,323.93
8,GENÉTICA,20 a 29,601,141007.97,234.62
8,GENÉTICA,30 a 39,1732,474111.350000001,273.74
8,GENÉTICA,40 a 49,686,203787.53,297.07
8,GENÉTICA,5 a 9,112,40014.26,357.27
8,GENÉTICA,50 a 59,395,143435.46,363.13
8,GENÉTICA,60 a 69,581,180706.21,311.03
8,GENÉTICA,70 a 79,730,191500.49,262.33
8,GENÉTICA,80 ou mais,468,117108.26,250.23
8,GENÉTICA,<1,188,53180.17,282.87
8,GENÉTICA,Não identificado,127,29172.24,229.7
9,MEDICINA LABORATORIAL,1 a 4,240267.5,4973660.48000002,20.7
9,MEDICINA LABORATORIAL,10 a 14,156371.2,2817459.73000001,18.02
9,MEDICINA LABORATORIAL,15 a 19,238875,4232709.92000002,17.72
9,MEDICINA LABORATORIAL,20 a 29,1013373.7,17027438.9200003,16.8
9,MEDICINA LABORATORIAL,30 a 39,1967929.5,34873136.0700006,17.72
9,MEDICINA LABORATORIAL,40 a 49,1976301.51,34642289.5600007,17.53
9,MEDICINA LABORATORIAL,5 a 9,159394,4178388.98,26.21
9,MEDICINA LABORATORIAL,50 a 59,2424797.6,45170555.4099988,18.63
9,MEDICINA LABORATORIAL,60 a 69,3082677.55,69814589.3599969,22.65
9,MEDICINA LABORATORIAL,70 a 79,3290932.3,77782274.6099975,23.64
9,MEDICINA LABORATORIAL,80 ou mais,3759293.95,82076005.8199988,21.83
9,MEDICINA LABORATORIAL,<1,243628,5825421.24999996,23.91
9,MEDICINA LABORATORIAL,Não identificado,260438,4962626.32999999,19.05
10,MEDICINA NUCLEAR,1 a 4,60,49651.83,827.53
10,MEDICINA NUCLEAR,10 a 14,39,18776.63,481.45
10,MEDICINA NUCLEAR,15 a 19,60,37751.41,629.19
