cd_procedimento,termo,categoria,tot_qt,tot_vl,mean_vl
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,Masculino,258563,46667832.0600007,180.49
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,Feminino,436913.04,48858935.270003,111.83
1,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,N. I.,11004,841976.150000002,76.52
2,ANESTESIAS,Masculino,59804.1,20655480.0400002,345.39
2,ANESTESIAS,Feminino,65634,21284716.4800004,324.29
2,ANESTESIAS,N. I.,1346,352033.95,261.54
3,DIAGNÓSTICO POR IMAGEM - OUTROS,Masculino,308,90609.0499999999,294.19
3,DIAGNÓSTICO POR IMAGEM - OUTROS,Feminino,439,130004.3,296.14
3,DIAGNÓSTICO POR IMAGEM - OUTROS,N. I.,26,6120.17,235.39
4,DIAGNÓSTICO POR IMAGEM - RX,Masculino,477975.55,41588112.2600047,87.01
4,DIAGNÓSTICO POR IMAGEM - RX,Feminino,479675.37,41660980.3100042,86.85
4,DIAGNÓSTICO POR IMAGEM - RX,N. I.,13955,848213.52,60.78
5,ENDOSCOPIA DIAGNÓSTICA,Masculino,12486.05,4703504.90999998,376.7
5,ENDOSCOPIA DIAGNÓSTICA,Feminino,15770.46,7481009.1899999,474.37
5,ENDOSCOPIA DIAGNÓSTICA,N. I.,340,126221.31,371.24
6,ENDOSCOPIA INTERVENCIONISTA,Masculino,10528.5,4709380.66999999,447.3
6,ENDOSCOPIA INTERVENCIONISTA,Feminino,11452,4731537.64,413.16
6,ENDOSCOPIA INTERVENCIONISTA,N. I.,267,106689.56,399.59
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,Masculino,31,1088.54,35.11
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,Feminino,101,1097.96,10.87
7,EXAMES RADIOLÓGICOS EM ODONTOLOGIA,N. I.,4,15.5,3.88
8,GENÉTICA,Masculino,2161,672884.440000001,311.38
8,GENÉTICA,Feminino,3764,1025231.67,272.38
8,GENÉTICA,N. I.,127,29172.24,229.7
9,MEDICINA LABORATORIAL,Masculino,9607037.41,206737501.090012,21.52
9,MEDICINA LABORATORIAL,Feminino,8947047.4,176678359.750016,19.75
9,MEDICINA LABORATORIAL,N. I.,260195,4960695.59999999,19.07
10,MEDICINA NUCLEAR,Masculino,2054,1159143.02,564.33
10,MEDICINA NUCLEAR,Feminino,5169.2,2494092.89,482.49
10,MEDICINA NUCLEAR,N. I.,85,35046.86,412.32
11,MEDICINA TRANSFUCIONAL,Masculino,729520.5,40374196.4599987,55.34
11,MEDICINA TRANSFUCIONAL,Feminino,750760.42,39174957.0499966,52.18
11,MEDICINA TRANSFUCIONAL,N. I.,29066,1110079.38,38.19
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,Masculino,18930,8295878.21000001,438.24
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,Feminino,20542.5,10232329.0600001,498.11
12,MÉTODOS INTERVENCIONISTAS / TERAPÊUTICOS POR IMAGEM,N. I.,659,366059.77,555.48
13,OUTROS EXAMES E PROCEDIMENTOS,Masculino,1855562.0704,77917614.2899994,41.99
13,OUTROS EXAMES E PROCEDIMENTOS,Feminino,2532210.20160001,105214142.85001,41.55
13,OUTROS EXAMES E PROCEDIMENTOS,N. I.,68638.84,4427259.6,64.5
14,PROCEDIMENTOS DE ASSISTÊNCIA SOCIAL,Masculino,1185,271552.51,229.16
14,PROCEDIMENTOS DE ASSISTÊNCIA SOCIAL,Feminino,2129,765339.91,359.48
14,PROCEDIMENTOS DE ASSISTÊNCIA SOCIAL,N. I.,53,3125.65,58.97
15,PROCEDIMENTOS DE ENFERMAGEM,Masculino,27432.06,3761295.63000003,137.11
15,PROCEDIMENTOS DE ENFERMAGEM,Feminino,35540.74,4120701.26000003,115.94
15,PROCEDIMENTOS DE ENFERMAGEM,N. I.,282,91686.7,325.13
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,Masculino,286337.4,17290112.7499998,60.38
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,Feminino,380737.4,18791405.7699993,49.36
16,PROCEDIMENTOS DE FONOAUDIOLOGIA,N. I.,7585,353381.21,46.59
17,PROCEDIMENTOS DE NUTRIÇÃO,Masculino,18737.24,1429468.69,76.29
17,PROCEDIMENTOS DE NUTRIÇÃO,Feminino,20238.64,1578139.96999999,77.98
17,PROCEDIMENTOS DE NUTRIÇÃO,N. I.,410,32024.27,78.11
18,PROCEDIMENTOS EM FISIOTERAPIA,Masculino,1526876,48177631.1799992,31.55
18,PROCEDIMENTOS EM FISIOTERAPIA,Feminino,1661961,50803681.5699979,30.57
18,PROCEDIMENTOS EM FISIOTERAPIA,N. I.,37970,1322481.63,34.83
19,PROCEDIMENTOS EM PSICOTERAPIA,Masculino,34812.2,1791495.22999999,51.46
19,PROCEDIMENTOS EM PSICOTERAPIA,Feminino,45905,2241494.78999998,48.83
19,PROCEDIMENTOS EM PSICOTERAPIA,N. I.,1847,48219.32,26.11
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,Masculino,28031.5,1302187.96,46.45
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,Feminino,27042.2,1410416.39,52.16
20,PROCEDIMENTOS EM TERAPIA OCUPACIONAL,N. I.,631,38659.6,61.27
21,RADIOTERAPIA MEGAVOLTAGEM,Masculino,454,277686.37,611.64
21,RADIOTERAPIA MEGAVOLTAGEM,Feminino,75,357154.62,4762.06
21,RADIOTERAPIA MEGAVOLTAGEM,N. I.,2,18285.24,9142.62
22,RADIOTERAPIA OUTRAS TÉCNICAS,Masculino,47709.05,2879539.68,60.36
22,RADIOTERAPIA OUTRAS TÉCNICAS,Feminino,69250.0000000001,4709253.77000001,68
22,RADIOTERAPIA OUTRAS TÉCNICAS,N. I.,13127.8,516203.93,39.32
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,Masculino,19090,11426136.9200001,598.54
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,Feminino,22267,14129517.4000001,634.55
23,RESSONÂNCIA MAGNÉTICA DIAGNÓSTICA,N. I.,385,240281.79,624.11
24,RESSONÂNCIA MAGNÉTICA INTERVENCIONISTA,Masculino,27,17216.47,637.65
24,RESSONÂNCIA MAGNÉTICA INTERVENCIONISTA,Feminino,60,36860.39,614.34
24,RESSONÂNCIA MAGNÉTICA INTERVENCIONISTA,N. I.,0,0,0
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,Masculino,88844,31439882.9799996,353.88
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,Feminino,84945,30636876.7699994,360.67
25,TOMOGRAFIA COMPUTADORIZADA DIAGNÓSTICA,N. I.,2427,754320.38,310.8
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,Masculino,105,20703.39,197.18
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,Feminino,80,20352.94,254.41
26,TOMOGRAFIA COMPUTADORIZADA INTERVENCIONISTA,N. I.,9,1103.73,122.64
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,Masculino,45554,8085459.51000011,177.49
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,Feminino,67911.8,10176392.6599997,149.85
27,ULTRA-SONOGRAFIA DIAGNÓSTICA,N. I.,1308,216717.17,165.69
28,ULTRA-SONOGRAFIA INTERVENCIONISTA,Masculino,1840,420258.619999999,228.4
28,ULTRA-SONOGRAFIA INTERVENCIONISTA,Feminino,1477,311246.689999999,210.73
28,ULTRA-SONOGRAFIA INTERVENCIONISTA,N. I.,34.5,14716.43,426.56
29,MATERIAIS E OPME,Masculino,187151319.415307,4074733433.80001,21.77
29,MATERIAIS E OPME,Feminino,203548141.219907,4076359838.4,20.03
29,MATERIAIS E OPME,N. I.,5247594.68980001,92572563.4600002,17.64
30,MEDICAMENTOS,Masculino,300602352.849003,3765843555.33004,12.53
30,MEDICAMENTOS,Feminino,325628966.714101,3134378386.91022,9.63
30,MEDICAMENTOS,N. I.,8605778.83329999,80828068.1900003,9.39
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",Masculino,201777420.985903,8405008780.08204,41.65
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",Feminino,209734732.212304,8887284721.80136,42.37
31,"DIÁRIAS, TAXAS E GASES MEDICINAIS",N. I.,7102759.95080002,206888395.229998,29.13
10101012,Consulta em consultório (no horário normal ou preestabelecido),Masculino,7923.5,1030447.35000001,130.05
10101012,Consulta em consultório (no horário normal ou preestabelecido),Feminino,11289,1515173.84000001,134.22
10101012,Consulta em consultório (no horário normal ou preestabelecido),N. I.,233,28239.12,121.2
10101020,Consulta em domicílio,Masculino,14155,3342685.64000005,236.15
10101020,Consulta em domicílio,Feminino,20723,4516101.79000008,217.93
10101020,Consulta em domicílio,N. I.,460,140638.22,305.74
10101039,Consulta em pronto socorro,Masculino,19369.2,2617047.93999997,135.11
10101039,Consulta em pronto socorro,Feminino,24469.8,3291918.76999995,134.53
10101039,Consulta em pronto socorro,N. I.,956.8,96150.8199999999,100.49
10102019,Visita hospitalar (paciente internado),Masculino,3989953.4,626566043.139949,157.04
10102019,Visita hospitalar (paciente internado),Feminino,4231088.8,639926519.629815,151.24
10102019,Visita hospitalar (paciente internado),N. I.,107665.8,14546664.7700002,135.11
10103015,Atendimento ao recém-nascido em berçário,Masculino,10763.65,2702932.39999994,251.12
10103015,Atendimento ao recém-nascido em berçário,Feminino,240714.95,89174196.7799934,370.46
10103015,Atendimento ao recém-nascido em berçário,N. I.,2495,524888.62,210.38
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),Masculino,11894.45,4232824.96999992,355.87
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),Feminino,267484.249999999,127747762.620011,477.59
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),N. I.,2774.3,827249.140000004,298.18
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco),Masculino,521,183023.61,351.29
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco),Feminino,10393.3,3792560.60999986,364.9
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco),N. I.,101,37401.02,370.31
10104011,Atendimento do intensivista diarista (por dia e por paciente),Masculino,469321.31,54612594.4599993,116.37
10104011,Atendimento do intensivista diarista (por dia e por paciente),Feminino,523079.1,59715744.2499986,114.16
10104011,Atendimento do intensivista diarista (por dia e por paciente),N. I.,11384.6,986916.290000003,86.69
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),Masculino,1603457.7937,405632393.249967,252.97
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),Feminino,1744462.0464,487578982.349971,279.5
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),N. I.,45350,8585481.70999998,189.32
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",Masculino,485,283348.84,584.22
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",Feminino,486,313738.76,645.55
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico",N. I.,5,3330.78,666.16
