Codigo do Termo;Termo
100104371;BASE TIBIAL TRITANIUM TRIATHLON
100104380;BASE TIBIAL TRITANIUM TRIATHLON - 5536B700 - BASE TIBIAL TRITANIUM TRIATHLON S7
100104398;BASE TIBIAL TRITANIUM TRIATHLON - 5536B400 - BASE TIBIAL TRITANIUM TRIATHLON S4
100104401;BASE TIBIAL TRITANIUM TRIATHLON - 5536B300 - BASE TIBIAL TRITANIUM TRIATHLON S3
100104410;BASE TIBIAL TRITANIUM TRIATHLON - 5536B100 - BASE TIBIAL TRITANIUM TRIATHLON S1
100104428;BASE TIBIAL TRITANIUM TRIATHLON - 5536B800 - BASE TIBIAL TRITANIUM TRIATHLON S8
100104436;BASE TIBIAL TRITANIUM TRIATHLON - 5536B200 - BASE TIBIAL TRITANIUM TRIATHLON S2
100104444;BASE TIBIAL TRITANIUM TRIATHLON - 5536B500 - BASE TIBIAL TRITANIUM TRIATHLON S5
100104452;BASE TIBIAL TRITANIUM TRIATHLON - 5536B600 - BASE TIBIAL TRITANIUM TRIATHLON S6
100104541;INSERTE ACETABULAR CONSTRITO TRIDENT
100104550;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-3258 - Inserte Constrito Trident All Poly 32mm/ 58mm
100104568;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2854- Inserte Constrito Trident All Poly 28mm/ 54mm
100104576;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-22F - Inserte Constrito Acetabular Trident 10 Deg 22mm
100104584;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-28F - Inserte Constrito AcetabularTrident 0 Deg 28mm
100104592;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2244 - Inserte Constrito Trident All Poly22mm/ 44mm
100104606;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-22E - Inserte Constrito Acetabular Trident 10 Deg 22mm
100104614;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-2248 -Inserte Constrito Trident All Poly 22mm/ 48mm
100104622;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-32J - Inserte Constrito AcetabularTrident 0 Deg 32mm
100104630;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-28K - InserteConstrito Acetabular Trident 10 Deg 28mm
100104649;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-28J - Inserte Constrito Acetabular Trident 10 Deg 28mm
100104657;INSERTE ACETABULAR CONSTRITO TRIDENT - 69-3260 - Inserte Constrito Trident All Poly 32mm/ 60mm
100104665;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-10-28G - InserteConstrito Acetabular Trident 10 Deg 28mm
100104673;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-22D - Inserte Constrito Acetabular Trident 0 Deg 22mm
100104681;INSERTE ACETABULAR CONSTRITO TRIDENT - 690-00-28G - Inserte Constrito Acetabular Trident 0 Deg 28mm
